,compare,snr,task,data type
368,mriqc,5.296848327759643,mriqc,snr
369,mriqc,4.927651194372108,mriqc,snr
370,mriqc,5.241677943769342,mriqc,snr
371,mriqc,5.108313970680468,mriqc,snr
372,mriqc,5.049593328199834,mriqc,snr
373,mriqc,5.220357734457275,mriqc,snr
374,mriqc,4.940746436734247,mriqc,snr
375,mriqc,4.877746703814323,mriqc,snr
376,mriqc,5.020223549800518,mriqc,snr
377,mriqc,4.983278481055252,mriqc,snr
378,mriqc,5.241240193435037,mriqc,snr
379,mriqc,4.7658837812825015,mriqc,snr
380,mriqc,5.2735627411655885,mriqc,snr
381,mriqc,4.860168069934848,mriqc,snr
382,mriqc,4.881375240347315,mriqc,snr
383,mriqc,5.257283019005018,mriqc,snr
384,mriqc,4.844256781593119,mriqc,snr
385,mriqc,4.860652926126453,mriqc,snr
386,mriqc,5.122894002003762,mriqc,snr
387,mriqc,4.955401744999107,mriqc,snr
388,mriqc,4.898023068956276,mriqc,snr
389,mriqc,5.054205881798102,mriqc,snr
390,mriqc,5.041833857485695,mriqc,snr
391,mriqc,5.1971254765448265,mriqc,snr
392,mriqc,4.752075387641631,mriqc,snr
393,mriqc,4.797824346102112,mriqc,snr
394,mriqc,4.944859042505329,mriqc,snr
395,mriqc,4.976147126164246,mriqc,snr
396,mriqc,4.9412592584167925,mriqc,snr
397,mriqc,4.9001190376462755,mriqc,snr
398,mriqc,4.785489721284329,mriqc,snr
399,mriqc,4.8328568716468,mriqc,snr
400,mriqc,5.00313420081923,mriqc,snr
401,mriqc,4.887714949614489,mriqc,snr
402,mriqc,4.982323397790476,mriqc,snr
403,mriqc,4.656516627904926,mriqc,snr
404,mriqc,4.863742856383024,mriqc,snr
405,mriqc,4.627837046534681,mriqc,snr
406,mriqc,5.078961858337441,mriqc,snr
407,mriqc,4.6221185639172155,mriqc,snr
408,mriqc,4.818260665245764,mriqc,snr
409,mriqc,4.808170721875135,mriqc,snr
410,mriqc,5.2010058879830385,mriqc,snr
411,mriqc,5.167196387103373,mriqc,snr
412,mriqc,5.249114212269768,mriqc,snr
413,mriqc,5.118859993249753,mriqc,snr
414,mriqc,5.1755103275975785,mriqc,snr
415,mriqc,3.821637215329532,mriqc,snr
416,mriqc,3.815309029086874,mriqc,snr
417,mriqc,3.833358880550539,mriqc,snr
418,mriqc,3.847402666430736,mriqc,snr
419,mriqc,4.755826152404959,mriqc,snr
420,mriqc,4.807989496295796,mriqc,snr
421,mriqc,3.3642786554190884,mriqc,snr
422,mriqc,3.361784338343184,mriqc,snr
423,mriqc,5.348876752933994,mriqc,snr
424,mriqc,5.161617313622116,mriqc,snr
425,mriqc,5.2586532899783585,mriqc,snr
426,mriqc,5.397978659285174,mriqc,snr
427,mriqc,5.355008549030914,mriqc,snr
428,mriqc,5.332213843208672,mriqc,snr
429,mriqc,5.373816566231691,mriqc,snr
430,mriqc,5.317251656323597,mriqc,snr
431,mriqc,5.395885691877433,mriqc,snr
432,mriqc,5.510041302137155,mriqc,snr
433,mriqc,5.32049401957602,mriqc,snr
434,mriqc,5.552645540861552,mriqc,snr
435,mriqc,5.311687654927268,mriqc,snr
436,mriqc,5.527132433360119,mriqc,snr
437,mriqc,5.319277174517921,mriqc,snr
438,mriqc,5.6539068772650305,mriqc,snr
439,mriqc,5.464674019463471,mriqc,snr
440,mriqc,5.349079823506616,mriqc,snr
441,mriqc,5.65307042198814,mriqc,snr
442,mriqc,5.598967132564397,mriqc,snr
443,mriqc,4.778329203926036,mriqc,snr
444,mriqc,5.63238712231422,mriqc,snr
445,mriqc,5.673576991519687,mriqc,snr
446,mriqc,4.781919774950998,mriqc,snr
447,mriqc,5.52875645004265,mriqc,snr
448,mriqc,5.367476986914568,mriqc,snr
449,mriqc,5.538304918175006,mriqc,snr
450,mriqc,4.71054148769895,mriqc,snr
451,mriqc,5.323628112748903,mriqc,snr
452,mriqc,5.399831363079279,mriqc,snr
453,mriqc,5.54669986549042,mriqc,snr
454,mriqc,4.731619282128796,mriqc,snr
455,mriqc,5.3983226089500675,mriqc,snr
456,mriqc,5.604932764722774,mriqc,snr
457,mriqc,5.445045247966321,mriqc,snr
458,mriqc,5.518126267848038,mriqc,snr
459,mriqc,5.5834181798660545,mriqc,snr
460,mriqc,4.799623490800397,mriqc,snr
461,mriqc,4.574114409825574,mriqc,snr
462,mriqc,5.290770035224876,mriqc,snr
463,mriqc,5.471910846094245,mriqc,snr
464,mriqc,5.321807994969952,mriqc,snr
465,mriqc,5.169070313685067,mriqc,snr
466,mriqc,5.154036722288825,mriqc,snr
467,mriqc,5.349289163584772,mriqc,snr
468,mriqc,5.411561603395632,mriqc,snr
469,mriqc,5.231820570758601,mriqc,snr
470,mriqc,4.828985774670833,mriqc,snr
471,mriqc,5.373094201707531,mriqc,snr
472,mriqc,5.359285441400716,mriqc,snr
473,mriqc,4.804614596381117,mriqc,snr
474,mriqc,5.340765550062807,mriqc,snr
475,mriqc,4.843108387058839,mriqc,snr
476,mriqc,5.3803349120242485,mriqc,snr
477,mriqc,4.7585662250784315,mriqc,snr
478,mriqc,5.266946561395477,mriqc,snr
479,mriqc,5.359822083148475,mriqc,snr
480,mriqc,5.27115782310899,mriqc,snr
481,mriqc,4.903401144981663,mriqc,snr
482,mriqc,4.868619378843658,mriqc,snr
483,mriqc,5.317433682035737,mriqc,snr
484,mriqc,5.381194423517539,mriqc,snr
485,mriqc,5.076095504502802,mriqc,snr
