,compare,tsnr,task,data type
354,mriqc,60.643463134765625,mriqc,tsnr
355,mriqc,52.852149963378906,mriqc,tsnr
356,mriqc,57.11760330200195,mriqc,tsnr
357,mriqc,40.136226654052734,mriqc,tsnr
358,mriqc,38.636478424072266,mriqc,tsnr
359,mriqc,43.51752471923828,mriqc,tsnr
360,mriqc,60.49292755126953,mriqc,tsnr
361,mriqc,52.883331298828125,mriqc,tsnr
362,mriqc,68.44944763183594,mriqc,tsnr
363,mriqc,45.701141357421875,mriqc,tsnr
364,mriqc,55.25257873535156,mriqc,tsnr
365,mriqc,61.07217025756836,mriqc,tsnr
366,mriqc,60.38372039794922,mriqc,tsnr
367,mriqc,67.69273376464844,mriqc,tsnr
368,mriqc,47.389591217041016,mriqc,tsnr
369,mriqc,43.31731796264648,mriqc,tsnr
370,mriqc,57.475128173828125,mriqc,tsnr
371,mriqc,59.53562927246094,mriqc,tsnr
372,mriqc,52.71113967895508,mriqc,tsnr
373,mriqc,57.0997428894043,mriqc,tsnr
374,mriqc,67.42990112304688,mriqc,tsnr
375,mriqc,42.993499755859375,mriqc,tsnr
376,mriqc,61.19637680053711,mriqc,tsnr
377,mriqc,50.83390045166016,mriqc,tsnr
378,mriqc,71.8600845336914,mriqc,tsnr
379,mriqc,61.19428253173828,mriqc,tsnr
380,mriqc,62.52422332763672,mriqc,tsnr
381,mriqc,45.71598434448242,mriqc,tsnr
382,mriqc,59.753150939941406,mriqc,tsnr
383,mriqc,47.038448333740234,mriqc,tsnr
384,mriqc,54.56679916381836,mriqc,tsnr
385,mriqc,44.31157684326172,mriqc,tsnr
386,mriqc,50.20903015136719,mriqc,tsnr
387,mriqc,56.804840087890625,mriqc,tsnr
388,mriqc,50.74192810058594,mriqc,tsnr
389,mriqc,55.743263244628906,mriqc,tsnr
390,mriqc,40.68384552001953,mriqc,tsnr
391,mriqc,69.64071655273438,mriqc,tsnr
392,mriqc,37.55467987060547,mriqc,tsnr
393,mriqc,67.70659637451172,mriqc,tsnr
394,mriqc,46.73077774047851,mriqc,tsnr
395,mriqc,67.06758117675781,mriqc,tsnr
396,mriqc,50.81523132324219,mriqc,tsnr
397,mriqc,47.66053771972656,mriqc,tsnr
398,mriqc,48.74127960205078,mriqc,tsnr
399,mriqc,65.74446105957031,mriqc,tsnr
400,mriqc,57.63431167602539,mriqc,tsnr
401,mriqc,65.13555908203125,mriqc,tsnr
402,mriqc,66.18034362792969,mriqc,tsnr
403,mriqc,65.79588317871094,mriqc,tsnr
404,mriqc,55.43350601196289,mriqc,tsnr
405,mriqc,53.04524993896485,mriqc,tsnr
