,compare,gsr_x,task,data type
449,mriqc,-0.0006002992740832,mriqc,gsr_x
450,mriqc,-0.0010691180359572,mriqc,gsr_x
451,mriqc,-0.0059801619499921,mriqc,gsr_x
452,mriqc,-0.006133162882179,mriqc,gsr_x
453,mriqc,-0.005982719361782,mriqc,gsr_x
454,mriqc,-0.0050619323737919,mriqc,gsr_x
455,mriqc,-0.0060451147146523,mriqc,gsr_x
456,mriqc,0.0204310547560453,mriqc,gsr_x
457,mriqc,-0.0003163225483149,mriqc,gsr_x
458,mriqc,-0.0101694082841277,mriqc,gsr_x
459,mriqc,-0.000892793177627,mriqc,gsr_x
460,mriqc,-0.0053183534182608,mriqc,gsr_x
461,mriqc,-0.0011261340696364,mriqc,gsr_x
462,mriqc,-0.0048834653571248,mriqc,gsr_x
463,mriqc,0.0189226251095533,mriqc,gsr_x
464,mriqc,-0.0018080502049997,mriqc,gsr_x
465,mriqc,-0.0032459022477269,mriqc,gsr_x
466,mriqc,-0.0053081363439559,mriqc,gsr_x
467,mriqc,-0.0096536064520478,mriqc,gsr_x
468,mriqc,-0.0097659211605787,mriqc,gsr_x
469,mriqc,-0.0051090382039546,mriqc,gsr_x
470,mriqc,-0.0004932541633024,mriqc,gsr_x
471,mriqc,-0.0055063795298337,mriqc,gsr_x
472,mriqc,-0.009511113166809,mriqc,gsr_x
473,mriqc,-0.0003056132409255,mriqc,gsr_x
474,mriqc,-0.0051347524859011,mriqc,gsr_x
475,mriqc,-0.0005681501352228,mriqc,gsr_x
476,mriqc,-0.0095147099345922,mriqc,gsr_x
477,mriqc,0.0001170009927591,mriqc,gsr_x
478,mriqc,-0.0053647239692509,mriqc,gsr_x
479,mriqc,-0.0096822213381528,mriqc,gsr_x
480,mriqc,-0.0092757064849138,mriqc,gsr_x
481,mriqc,-0.0005229697562754,mriqc,gsr_x
482,mriqc,-0.000421016535256,mriqc,gsr_x
483,mriqc,-0.0050201076082885,mriqc,gsr_x
484,mriqc,-0.0053874845616519,mriqc,gsr_x
485,mriqc,-0.005371852312237,mriqc,gsr_x
486,mriqc,0.0015222557121887,mriqc,gsr_x
487,mriqc,-0.0061038210988044,mriqc,gsr_x
488,mriqc,-0.0050051268190145,mriqc,gsr_x
489,mriqc,-0.0064066788181662,mriqc,gsr_x
490,mriqc,-0.0097240908071398,mriqc,gsr_x
491,mriqc,0.0007725995383225,mriqc,gsr_x
492,mriqc,-0.0062921307981014,mriqc,gsr_x
493,mriqc,0.0002703185309655,mriqc,gsr_x
494,mriqc,-0.0065597160719335,mriqc,gsr_x
495,mriqc,-0.0059639355167746,mriqc,gsr_x
496,mriqc,-0.0100261978805065,mriqc,gsr_x
497,mriqc,0.0029458471108227,mriqc,gsr_x
498,mriqc,-0.0113377636298537,mriqc,gsr_x
499,mriqc,-0.0067532481625676,mriqc,gsr_x
500,mriqc,0.0018717562779784,mriqc,gsr_x
