,compare,efc,task,data type
376,mriqc,0.5611352277047679,mriqc,efc
377,mriqc,0.5617089609961214,mriqc,efc
378,mriqc,0.5349584658999013,mriqc,efc
379,mriqc,0.5444875305997183,mriqc,efc
380,mriqc,0.5344573512042642,mriqc,efc
381,mriqc,0.5502163595613072,mriqc,efc
382,mriqc,0.5462046073455623,mriqc,efc
383,mriqc,0.5335154225631595,mriqc,efc
384,mriqc,0.5447183742407506,mriqc,efc
385,mriqc,0.54998865980554,mriqc,efc
386,mriqc,0.5501504925880454,mriqc,efc
387,mriqc,0.5510126902372597,mriqc,efc
388,mriqc,0.5503418057373002,mriqc,efc
389,mriqc,0.5582200729773567,mriqc,efc
390,mriqc,0.5494106487686616,mriqc,efc
391,mriqc,0.5086629064632909,mriqc,efc
392,mriqc,0.5517210436648885,mriqc,efc
393,mriqc,0.5469664583618028,mriqc,efc
394,mriqc,0.5482093753627265,mriqc,efc
395,mriqc,0.5553450672109556,mriqc,efc
396,mriqc,0.5545819277171474,mriqc,efc
397,mriqc,0.550573834777695,mriqc,efc
398,mriqc,0.5498813553937004,mriqc,efc
399,mriqc,0.5465946552748621,mriqc,efc
400,mriqc,0.5495998488147054,mriqc,efc
401,mriqc,0.5462454778540103,mriqc,efc
402,mriqc,0.5563867240158017,mriqc,efc
403,mriqc,0.5530067381210605,mriqc,efc
404,mriqc,0.5480359978212144,mriqc,efc
405,mriqc,0.5518628277364402,mriqc,efc
406,mriqc,0.5114033436325195,mriqc,efc
407,mriqc,0.5520024471656783,mriqc,efc
408,mriqc,0.547837520736683,mriqc,efc
409,mriqc,0.5470064011664021,mriqc,efc
410,mriqc,0.5097096656393052,mriqc,efc
411,mriqc,0.5099935945561277,mriqc,efc
412,mriqc,0.5093772899659367,mriqc,efc
413,mriqc,0.5090496558900173,mriqc,efc
414,mriqc,0.5084119110330995,mriqc,efc
415,mriqc,0.5375766982108537,mriqc,efc
416,mriqc,0.5393443694385104,mriqc,efc
417,mriqc,0.5408876553063422,mriqc,efc
418,mriqc,0.53944578262722,mriqc,efc
419,mriqc,0.5685062658666081,mriqc,efc
420,mriqc,0.5694850833469406,mriqc,efc
421,mriqc,0.6785283863347987,mriqc,efc
422,mriqc,0.6787887917560311,mriqc,efc
423,mriqc,0.5263271666935017,mriqc,efc
424,mriqc,0.5260088450305792,mriqc,efc
425,mriqc,0.562566179633827,mriqc,efc
426,mriqc,0.5612862094976305,mriqc,efc
427,mriqc,0.5256804705231919,mriqc,efc
428,mriqc,0.5275851531368569,mriqc,efc
429,mriqc,0.5067124100799865,mriqc,efc
430,mriqc,0.5597692794561874,mriqc,efc
431,mriqc,0.5053816233673736,mriqc,efc
432,mriqc,0.5022586133341217,mriqc,efc
433,mriqc,0.5370310709261472,mriqc,efc
434,mriqc,0.5561715210813049,mriqc,efc
435,mriqc,0.5366702179981806,mriqc,efc
436,mriqc,0.5016443955843912,mriqc,efc
437,mriqc,0.5034383864381228,mriqc,efc
438,mriqc,0.5530959030291023,mriqc,efc
439,mriqc,0.5010289626556594,mriqc,efc
440,mriqc,0.5361566391639185,mriqc,efc
441,mriqc,0.5732969282753188,mriqc,efc
442,mriqc,0.509556536532448,mriqc,efc
443,mriqc,0.5379493596032398,mriqc,efc
444,mriqc,0.5325948121575274,mriqc,efc
445,mriqc,0.5315566553057579,mriqc,efc
446,mriqc,0.488826521772817,mriqc,efc
447,mriqc,0.4791675610104413,mriqc,efc
448,mriqc,0.5240987493468175,mriqc,efc
449,mriqc,0.5088533345385794,mriqc,efc
450,mriqc,0.5371164648686907,mriqc,efc
451,mriqc,0.5206040050099968,mriqc,efc
452,mriqc,0.5200334784689028,mriqc,efc
453,mriqc,0.478457012707156,mriqc,efc
454,mriqc,0.4897048200136861,mriqc,efc
455,mriqc,0.5195176902182748,mriqc,efc
456,mriqc,0.573462634502764,mriqc,efc
457,mriqc,0.5309717576230556,mriqc,efc
458,mriqc,0.5220992275356446,mriqc,efc
459,mriqc,0.5082623708961004,mriqc,efc
460,mriqc,0.4888682797421332,mriqc,efc
461,mriqc,0.5365756549777185,mriqc,efc
462,mriqc,0.477886154753607,mriqc,efc
463,mriqc,0.5755729033092796,mriqc,efc
464,mriqc,0.5331928175798324,mriqc,efc
465,mriqc,0.5349401897482428,mriqc,efc
466,mriqc,0.5360725156357855,mriqc,efc
467,mriqc,0.49461714355586,mriqc,efc
468,mriqc,0.4941022366804147,mriqc,efc
469,mriqc,0.5079848724909858,mriqc,efc
470,mriqc,0.4828865498582567,mriqc,efc
471,mriqc,0.5076875411085005,mriqc,efc
472,mriqc,0.4954732118946589,mriqc,efc
473,mriqc,0.4825170994206752,mriqc,efc
474,mriqc,0.5090874887490812,mriqc,efc
475,mriqc,0.4842908062186516,mriqc,efc
476,mriqc,0.4948035476896129,mriqc,efc
477,mriqc,0.4838767531021664,mriqc,efc
478,mriqc,0.5087379178532628,mriqc,efc
479,mriqc,0.4937101431773271,mriqc,efc
480,mriqc,0.4924674192369992,mriqc,efc
481,mriqc,0.4816941933667908,mriqc,efc
482,mriqc,0.4813768338659969,mriqc,efc
483,mriqc,0.506504336932226,mriqc,efc
484,mriqc,0.5068341174322083,mriqc,efc
485,mriqc,0.4909107266950558,mriqc,efc
486,mriqc,0.5393443694385104,mriqc,efc
487,mriqc,0.4952600639827493,mriqc,efc
488,mriqc,0.4909883324185319,mriqc,efc
489,mriqc,0.5271552286880992,mriqc,efc
490,mriqc,0.5382494987574253,mriqc,efc
491,mriqc,0.5393212705247132,mriqc,efc
492,mriqc,0.4910371707881844,mriqc,efc
493,mriqc,0.5392017555516614,mriqc,efc
494,mriqc,0.495100284765917,mriqc,efc
495,mriqc,0.5262174135340678,mriqc,efc
496,mriqc,0.5383942717431808,mriqc,efc
497,mriqc,0.5375766982108537,mriqc,efc
498,mriqc,0.5240987493468175,mriqc,efc
499,mriqc,0.4973175222669692,mriqc,efc
500,mriqc,0.5396892649121506,mriqc,efc
501,mriqc,0.5315566553057579,mriqc,efc
502,mriqc,0.5206040050099968,mriqc,efc
503,mriqc,0.5694850833469406,mriqc,efc
504,mriqc,0.5290131486719604,mriqc,efc
505,mriqc,0.5370310709261472,mriqc,efc
506,mriqc,0.5200334784689028,mriqc,efc
