,compare,gsr_y,task,data type
503,mriqc,0.02627226524055,mriqc,gsr_y
504,mriqc,0.0385571867227554,mriqc,gsr_y
505,mriqc,0.0347842797636985,mriqc,gsr_y
506,mriqc,0.0186853948980569,mriqc,gsr_y
507,mriqc,0.0451804436743259,mriqc,gsr_y
508,mriqc,0.0338406227529048,mriqc,gsr_y
509,mriqc,0.0082765938714146,mriqc,gsr_y
510,mriqc,0.0276898946613073,mriqc,gsr_y
511,mriqc,0.0297631751745939,mriqc,gsr_y
512,mriqc,0.0089480644091963,mriqc,gsr_y
513,mriqc,0.0074853342957794,mriqc,gsr_y
514,mriqc,0.0301695596426725,mriqc,gsr_y
515,mriqc,0.027699664235115,mriqc,gsr_y
516,mriqc,0.0193397123366594,mriqc,gsr_y
517,mriqc,0.0345175638794899,mriqc,gsr_y
